"","X","...1","latitude","longitude","sum_IUU","sum_reported","coords","sum_NIUU","sum_Nreported","total_IUU_catch","total_catch","conflict0nmi","conflict50nmi","conflict100nmi","conflict150nmi","conflict200nmi","fatalities100nmi","ocean_ord","ocean_prd","prodummy1","prodummy2","prodummy3","prodummy4","prodummy5","prodummy6","prodummy7","prodummy8","prodummy9","prodummy10","prodummy11","prodummy12","prodummy13","prodummy14","prodummy15","prodummy16","prodummy17","prodummy18","prodummy19","prodummy20","prodummy21","prodummy22","prodummy23","prodummy24","prodummy25","prodummy26","prodummy27","prodummy28","prodummy29","prodummy30","prodummy31","prodummy32","prodummy33","prodummy34","indcatch000","nidcatch000","catch000"
"51",51,51,-11.5,128.5,93.09076,337.86535,"128.5,-11.5",8e-04,0.00271,93.09156,337.86806,0,0,0,0,0,0,724.259173611111,724.259173611111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.33786535,2.71e-06,0.33786806
"52",52,52,-11.5,129.5,90.68324,181.09887,"129.5,-11.5",0,0,90.68324,181.09887,0,0,0,0,0,0,841.264951388889,841.264951388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18109887,0,0.18109887
"53",53,53,-11.5,130.5,93.20785,278.08341,"130.5,-11.5",0,0,93.20785,278.08341,0,0,0,0,0,0,1274.87252222222,1274.87252222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27808341,0,0.27808341
"54",54,54,-11.5,131.5,211.65505,554.51029,"131.5,-11.5",0,0,211.65505,554.51029,0,0,0,0,0,0,1442.54026587302,1442.54026587302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55451029,0,0.55451029
"55",55,55,-11.5,132.5,123.85164,215.44788,"132.5,-11.5",0,0,123.85164,215.44788,0,0,0,0,0,0,1510.03150063131,1510.03150063131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21544788,0,0.21544788
"56",56,56,-11.5,133.5,109.35715,227.53014,"133.5,-11.5",0,0,109.35715,227.53014,0,0,0,0,0,0,1215.10364309764,1215.10364309764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22753014,0,0.22753014
"57",57,57,-11.5,135.5,151.72533,285.47908,"135.5,-11.5",0,0,151.72533,285.47908,0,0,0,0,0,0,1054.6583995098,1054.6583995098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.28547908,0,0.28547908
"58",58,58,-11.5,136.5,110.51708,242.90747,"136.5,-11.5",0,0,110.51708,242.90747,0,0,0,0,0,0,1045.81324479167,1045.81324479167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.24290747,0,0.24290747
"59",59,59,-11.5,137.5,252.43589,478.37623,"137.5,-11.5",0,0,252.43589,478.37623,0,0,0,0,0,0,667.448761574074,667.448761574074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.47837623,0,0.47837623
"60",60,60,-11.5,138.5,131.54845,275.10621,"138.5,-11.5",0,0,131.54845,275.10621,0,0,0,0,0,0,684.958423611111,684.958423611111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.27510621,0,0.27510621
"61",61,61,-11.5,139.5,242.81843,1591.90771,"139.5,-11.5",0.00234,0.00402,242.82077,1591.91173,0,0,0,0,0,0,671.9695,671.9695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.59190771,4.02e-06,1.59191173
"62",62,62,-11.5,140.5,128.35845,330.86885,"140.5,-11.5",0,0,128.35845,330.86885,0,0,0,0,4,1,676.333298611111,676.333298611111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.33086885,0,0.33086885
"63",63,63,-11.5,141.5,173.42007,443.63654,"141.5,-11.5",0,0,173.42007,443.63654,0,0,0,0,0,0,877.416761574074,877.416761574074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.44363654,0,0.44363654
"64",64,64,-10.5,103.5,0.15106,0.69373,"103.5,-10.5",0,0,0.15106,0.69373,0,0,0,0,0,0,270.269564814815,270.269564814815,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069373,0,0.00069373
"65",65,65,-10.5,104.5,0.33863,1.50395,"104.5,-10.5",0,0,0.33863,1.50395,0,0,0,0,0,0,278.852650462963,278.852650462963,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150395,0,0.00150395
"66",66,66,-10.5,105.5,176.86249,574.19112,"105.5,-10.5",0.11632,0.38694,176.97881,574.57806,0,0,0,0,0,0,288.739615740741,288.739615740741,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57419112,0.00038694,0.57457806
"67",67,67,-10.5,106.5,2.59797,31.57856,"106.5,-10.5",0,0,2.59797,31.57856,0,0,0,0,1,0,299.492449074074,299.492449074074,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03157856,0,0.03157856
"68",68,68,-10.5,107.5,9.26523,122.15348,"107.5,-10.5",0,0,9.26523,122.15348,0,0,0,0,29,0,307.29574537037,307.29574537037,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12215348,0,0.12215348
"69",69,69,-10.5,108.5,8.96735,108.93808,"108.5,-10.5",0,0,8.96735,108.93808,0,0,0,0,4,0,317.839787037037,317.839787037037,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10893808,0,0.10893808
"70",70,70,-10.5,109.5,5.32856,71.41142,"109.5,-10.5",0,0,5.32856,71.41142,0,0,0,4,9,0,326.881027777778,326.881027777778,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07141142,0,0.07141142
"71",71,71,-10.5,110.5,5.47932,73.46337,"110.5,-10.5",0,0,5.47932,73.46337,0,0,0,17,22,1,338.893479166667,338.893479166667,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07346337,0,0.07346337
"72",72,72,-10.5,111.5,5.8373,78.2143,"111.5,-10.5",0,0,5.8373,78.2143,0,0,0,1,4,0,378.378819444444,378.378819444444,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782143,0,0.0782143
"73",73,73,-10.5,112.5,8.76787,117.45753,"112.5,-10.5",0,0,8.76787,117.45753,0,0,0,25,55,1,397.499699074074,397.499699074074,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.11745753,0,0.11745753
"74",74,74,-10.5,113.5,7.759,103.71788,"113.5,-10.5",0,0,7.759,103.71788,0,0,4,10,16,3,425.690365740741,425.690365740741,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.10371788,0,0.10371788
"75",75,75,-10.5,114.5,7.67618,104.90491,"114.5,-10.5",0,0,7.67618,104.90491,0,0,1,1,1,4,449.444553240741,449.444553240741,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.10490491,0,0.10490491
"76",76,76,-10.5,115.5,10.92095,146.36295,"115.5,-10.5",0,0,10.92095,146.36295,0,0,5,5,5,0,397.955555555556,397.955555555556,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.14636295,0,0.14636295
